time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,
1429.676979,0.011184,-0.038304,-0.08379,-9.813006,-9.813438,0.001065,-0.00426,0.003195,98550.49,27.13,0.0041051,
1429.688221,0.011241,0.026334,-0.057456,-9.808218,-9.808422,0.00213,-0.00639,0.001065,98550.49,27.13,0.0091211,
1429.699437,0.011216,0.004788,-0.067032,-9.824976,-9.825206,0.005325,-0.01065,0.003195,98550.67,27.13,-0.0076629,
1429.710617,0.011181,-0.045486,-0.074214,-9.822582,-9.822968,0,-0.00426,0.001065,98550.67,27.13,-0.0054249,
1429.721751,0.011134,0.007182,-0.057456,-9.805824,-9.805995,0.003195,-0.007455,0.003195,98550.67,27.13,0.0115481,
1429.732929,0.011178,-0.033516,-0.064638,-9.822582,-9.822852,0.00213,-0.00639,0,98550.67,27.13,-0.0053089,
1429.744065,0.011136,-0.045486,-0.079002,-9.813006,-9.813429,0.00426,-0.00852,-0.001065,98550.67,27.13,0.0041141,
1429.755363,0.011298,-0.004788,-0.05985,-9.80343,-9.803614,0.003195,-0.00426,0,98550.67,27.13,0.0139291,
1429.766557,0.011193,-0.021546,-0.10773,-9.813006,-9.813621,0.00213,-0.00213,0.001065,98550.76,27.13,0.0039221,
1429.777684,0.011128,-0.002394,-0.088578,-9.820188,-9.820588,0.00426,-0.00852,0,98550.76,27.13,-0.0030449,
1429.788882,0.011197,-0.026334,-0.076608,-9.8154,-9.815734,0.003195,-0.007455,0.001065,98550.76,27.13,0.0018091,
1429.800006,0.011124,-0.031122,-0.090972,-9.836946,-9.837416,0.001065,-0.005325,0.003195,98550.76,27.13,-0.0198729,
1429.811333,0.011328,0.007182,-0.081396,-9.832158,-9.832498,0.00426,-0.00426,0.00213,98550.76,27.13,-0.0149549,
1429.822581,0.011248,-0.019152,-0.090972,-9.822582,-9.823022,0.005325,-0.00639,0.00426,98550.76,27.13,-0.0054789,
1429.834351,0.01177,-0.007182,-0.088578,-9.813006,-9.813408,0.00213,-0.007455,0,98550.78,27.13,0.0041351,
1429.844758,0.010407,-0.019152,-0.093366,-9.820188,-9.820651,0.00639,-0.00639,0.003195,98550.78,27.13,-0.0031079,
1429.855929,0.011172,0.007182,-0.064638,-9.822582,-9.822797,0.005325,-0.005325,0.00213,98550.78,27.13,-0.0052539,
1429.867172,0.011242,0.004788,-0.069426,-9.8154,-9.815647,0.00213,-0.007455,0.003195,98550.78,27.13,0.0018961,
1429.87832,0.011148,-0.02394,-0.098154,-9.824976,-9.825495,0.003195,-0.00426,0.003195,98550.78,27.13,-0.0079519,
1429.889924,0.011604,-0.002394,-0.08379,-9.813006,-9.813364,0.00426,-0.007455,0.001065,98550.78,27.13,0.0041791,
1429.90066,0.010736,0,-0.081396,-9.810612,-9.81095,0.00213,-0.00852,0.003195,98550.78,27.13,0.0065931,
1429.911822,0.011162,-0.004788,-0.093366,-9.834552,-9.834996,0.003195,-0.00639,0.00213,98550.78,27.13,-0.0174529,
1429.923055,0.011234,-0.016758,-0.064638,-9.8154,-9.815627,0.00426,-0.007455,0.00213,98550.78,27.13,0.0019161,
1429.93424,0.011184,-0.021546,-0.064638,-9.824976,-9.825212,0.003195,-0.003195,0.003195,98550.78,27.13,-0.0076689,
1429.945454,0.011214,0.004788,-0.064638,-9.824976,-9.82519,0.00426,-0.00639,0.00213,98550.78,27.13,-0.0076469,
1429.956589,0.011135,-0.026334,-0.069426,-9.80343,-9.803711,0.001065,-0.005325,0.00213,98550.8,27.13,0.0138321,
1429.967757,0.011168,0.002394,-0.062244,-9.810612,-9.81081,0.00426,-0.00852,-0.001065,98550.8,27.13,0.0067331,
1429.979429,0.011672,0.019152,-0.05985,-9.824976,-9.825177,0.005325,-0.00639,0.00426,98550.8,27.13,-0.0076339,
1429.990233,0.010804,0.004788,-0.079002,-9.813006,-9.813325,0.003195,-0.00426,0.003195,98550.8,27.13,0.0042181,
1430.00134,0.011106,0.007182,-0.05985,-9.83934,-9.839525,0.00639,-0.007455,0.001065,98550.8,27.13,-0.0219819,
1430.012512,0.011173,-0.014364,-0.064638,-9.824976,-9.825199,0.00213,-0.00426,0.001065,98550.8,27.13,-0.0076559,
1430.024,0.011488,-0.002394,-0.062244,-9.8154,-9.815598,0.001065,-0.00639,0.003195,98550.84,27.13,0.0019451,
1430.034951,0.010951,0,-0.08379,-9.813006,-9.813364,0.003195,-0.005325,0,98550.84,27.13,0.0041791,
1430.046081,0.01113,-0.004788,-0.064638,-9.810612,-9.810826,0.005325,-0.005325,0.001065,98550.84,27.13,0.0067171,
1430.057234,0.011153,0.01197,-0.07182,-9.808218,-9.808488,0.003195,-0.005325,0.00213,98550.84,27.13,0.0090551,
1430.068601,0.011367,-0.014364,-0.093366,-9.80343,-9.803885,0.00213,-0.00426,-0.001065,98550.84,27.13,0.0136581,
1430.079772,0.011171,-0.016758,-0.081396,-9.8154,-9.815752,0.00426,-0.003195,0,98550.84,27.13,0.0017911,
1430.090876,0.011105,-0.019152,-0.074214,-9.822582,-9.822881,0.00426,-0.005325,-0.00213,98550.88,27.13,-0.0053379,
1430.102026,0.01115,0,-0.062244,-9.817794,-9.817991,0.001065,-0.00426,0,98550.88,27.13,-0.0004479,
1430.11317,0.011144,-0.01197,-0.079002,-9.832158,-9.832483,0.005325,-0.00426,0.003195,98550.88,27.13,-0.0149399,
1430.124345,0.011175,0,-0.086184,-9.810612,-9.810991,0.00426,-0.005325,-0.001065,98550.88,27.13,0.0065521,
1430.135557,0.011212,0,-0.093366,-9.8154,-9.815844,0.00213,-0.00426,0.00213,98550.88,27.13,0.0016991,
1430.147746,0.012188,-0.007182,-0.090972,-9.824976,-9.8254,0.00426,-0.00639,0.00213,98550.96,27.13,-0.0078569,
1430.157957,0.010211,-0.007182,-0.090972,-9.817794,-9.818218,0.00426,-0.00639,0.001065,98550.96,27.13,-0.0006749,
1430.169174,0.011217,-0.014364,-0.079002,-9.820188,-9.820516,0.003195,-0.00852,0.00213,98550.96,27.13,-0.0029729,
1430.18032,0.011145,-0.02394,-0.081396,-9.805824,-9.806191,0.00213,-0.00426,0,98550.96,27.13,0.0113521,
1430.19151,0.01119,-0.019152,-0.090972,-9.813006,-9.813446,0.00639,-0.00639,0.005325,98550.96,27.13,0.0040971,
1430.202773,0.011263,-0.028728,-0.074214,-9.817794,-9.818117,0.00213,-0.00639,0.001065,98550.96,27.13,-0.0005739,
1430.214018,0.011244,-0.016758,-0.067032,-9.832158,-9.832401,0.005325,-0.003195,0.00213,98550.96,27.13,-0.0148579,
1430.225053,0.011036,-0.021546,-0.08379,-9.844128,-9.844508,0.00639,-0.00639,0.00213,98550.96,27.13,-0.0269649,
