time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,ag,,,,-9.823794359
138.506225,0.011179,-0.052668,-0.100548,-9.846522,-9.847176,0.007455,-0.00639,0.00213,99235.22,25.97,-0.023381641,-0.017909,,,,
138.517514,0.011289,0.067032,-0.079002,-9.841734,-9.842279,-0.003195,-0.003195,0.005325,99235.22,25.97,-0.018484641,-0.013012,,,,
138.528573,0.011059,-0.002394,0.02394,-9.822582,-9.822611,0.001065,-0.005325,-0.001065,99235.22,25.97,0.001183359,0.006656,,,,
138.539794,0.011221,0.043092,-0.105336,-9.808218,-9.808878,0.003195,-0.005325,0.003195,99235.22,25.97,0.014916359,0.020389,,,,
138.551079,0.011285,0.007182,-0.052668,-9.801036,-9.80118,-0.001065,-0.00426,0,99235.22,25.97,0.022614359,0.028087,,,,
138.562239,0.01116,0.007182,-0.043092,-9.832158,-9.832255,0.00213,-0.00426,0.00213,99235.22,25.97,-0.008460641,-0.002988,,,,
138.573358,0.011119,-0.028728,-0.10773,-9.834552,-9.835184,0.003195,-0.01065,0.00213,99235.22,25.97,-0.011389641,-0.005917,,,,
138.584462,0.011104,0.021546,-0.03591,-9.844128,-9.844217,-0.00426,0,0.003195,99235.22,25.97,-0.020422641,-0.01495,,,,
138.595866,0.011404,-0.043092,-0.117306,-9.836946,-9.83774,0,-0.00639,0.003195,99237.94,25.97,-0.013945641,-0.008473,,,,
138.606954,0.011088,0.007182,-0.114912,-9.872856,-9.873527,-0.001065,-0.003195,0.003195,99237.94,25.97,-0.049732641,-0.04426,,,,
138.618345,0.011391,0.04788,-0.028728,-9.801036,-9.801195,0.00213,-0.005325,0.00213,99237.94,25.97,0.022599359,0.028072,,,,
138.629214,0.010869,0.02394,-0.114912,-9.86328,-9.863978,0.005325,-0.003195,0.00213,99237.94,25.97,-0.040183641,-0.034711,,,,
138.640425,0.011211,-0.026334,-0.13167,-9.817794,-9.818712,0.003195,-0.00639,0.00426,99237.94,25.97,0.005082359,0.010555,,,,
138.651816,0.011392,0.03591,-0.13167,-9.846522,-9.847468,0.001065,-0.005325,0.001065,99237.94,25.97,-0.023673641,-0.018201,,,,
138.662817,0.011001,-0.01197,-0.112518,-9.79146,-9.792114,0.003195,-0.00213,0.005325,99240.6,25.97,0.031680359,0.037153,,,,
138.673984,0.011167,0.01197,-0.093366,-9.798642,-9.799094,0,-0.007455,0.00639,99240.6,25.97,0.024700359,0.030173,,,,
138.685267,0.011283,-0.093366,-0.112518,-9.817794,-9.818883,0.005325,-0.00639,0.00426,99240.6,25.97,0.004911359,0.010384,,,,
138.696422,0.011155,-0.02394,-0.062244,-9.80343,-9.803657,-0.00213,0,0.00213,99240.6,25.97,0.020137359,0.02561,,,,
138.707521,0.011099,-0.055062,-0.050274,-9.784278,-9.784562,0.005325,-0.007455,0.00426,99240.6,25.97,0.039232359,0.044705,,,,
138.718763,0.011242,-0.093366,-0.081396,-9.86328,-9.864058,0,-0.00213,0.003195,99240.6,25.97,-0.040263641,-0.034791,,,,
138.729954,0.011191,-0.021546,-0.01197,-9.8154,-9.815431,0.00213,-0.003195,0.00426,99243.23,25.97,0.008363359,0.013836,,,,
138.741177,0.011223,-0.098154,-0.090972,-9.882432,-9.883338,0.005325,-0.005325,0.00213,99243.23,25.97,-0.059543641,-0.054071,,,,
138.752253,0.011077,-0.019152,0.002394,-9.858492,-9.858511,-0.00213,0.001065,0.005325,99243.23,25.97,-0.034716641,-0.029244,,,,
138.763522,0.011269,-0.02394,-0.016758,-9.86328,-9.863323,0.00426,-0.003195,0.00213,99243.23,25.97,-0.039528641,-0.034056,,,,
138.774662,0.01114,-0.098154,-0.021546,-9.834552,-9.835065,0,-0.005325,0.001065,99243.23,25.97,-0.011270641,-0.005798,,,,
138.785895,0.011233,-0.026334,-0.057456,-9.801036,-9.80124,0.00213,-0.00213,0.003195,99243.23,25.97,0.022554359,0.028027,,,,
138.797044,0.011148,-0.064638,-0.114912,-9.810612,-9.811498,0.001065,-0.00639,0.00213,99246.15,25.97,0.012296359,0.017769,,,,
138.808178,0.011134,-0.138852,-0.062244,-9.820188,-9.821367,0.001065,-0.00213,0.005325,99246.15,25.97,0.002427359,0.0079,,,,
138.819506,0.011328,-0.02394,-0.112518,-9.82737,-9.828043,0.00426,-0.00426,0.00426,99246.15,25.97,-0.004248641,0.001224,,,,
138.830625,0.011119,-0.04788,-0.057456,-9.832158,-9.832442,0,-0.005325,0.001065,99246.15,25.97,-0.008647641,-0.003175,,,,
138.841799,0.011175,-0.026334,0.02394,-9.858492,-9.858556,-0.001065,-0.001065,0.00213,99246.15,25.97,-0.034761641,-0.029289,,,,
138.85357,0.01177,-0.014364,-0.1197,-9.86328,-9.864017,0.00639,-0.005325,0.005325,99248.82,25.97,-0.040222641,-0.03475,,,,
138.864107,0.010537,0.021546,0.002394,-9.882432,-9.882456,-0.005325,0,0.00213,99248.82,25.97,-0.058661641,-0.053189,,,,
138.875319,0.011212,0.043092,-0.062244,-9.796248,-9.796541,0.007455,-0.009585,0.001065,99248.82,25.97,0.027253359,0.032726,,,,
138.88671,0.011391,-0.019152,-0.186732,-9.848916,-9.850705,0,-0.00426,0.001065,99248.82,25.97,-0.026910641,-0.021438,,,,
138.897768,0.011058,0.02394,-0.031122,-9.798642,-9.798721,0,-0.001065,0.003195,99248.82,25.97,0.025073359,0.030546,,,,
138.908874,0.011106,0.016758,-0.220248,-9.8154,-9.817885,0.00426,-0.007455,0,99248.82,25.97,0.005909359,0.011382,,,,
138.920122,0.011248,0.002394,-0.067032,-9.793854,-9.794084,-0.003195,-0.003195,0.00426,99248.82,25.97,0.029710359,0.035183,,,,
138.931247,0.011126,-0.009576,-0.114912,-9.853704,-9.854379,0.00426,-0.005325,0.00426,99248.82,25.97,-0.030584641,-0.025112,,,,
138.94246,0.011213,-0.045486,-0.146034,-9.87525,-9.876434,0.001065,-0.001065,0.00426,99248.82,25.97,-0.052639641,-0.047167,,,,
138.953725,0.011265,0.02394,-0.08379,-9.87525,-9.875634,0.003195,-0.005325,0.001065,99248.82,25.97,-0.051839641,-0.046367,,,,
138.964822,0.011097,-0.004788,-0.148428,-9.85131,-9.852429,0.00213,-0.00213,0.00426,99248.82,25.97,-0.028634641,-0.023162,,,,
138.975928,0.011105,-0.062244,-0.076608,-9.872856,-9.873349,0.003195,-0.00426,0.00426,99248.82,25.97,-0.049554641,-0.044082,,,,
138.987213,0.011286,-0.014364,-0.15561,-9.805824,-9.807069,0.00426,-0.00852,0.00213,99251.5,25.97,0.016725359,0.022198,,,,
138.998909,0.011695,-0.064638,-0.098154,-9.844128,-9.84483,-0.00213,-0.00213,0.003195,99251.5,25.97,-0.021035641,-0.015563,,,,
139.009492,0.010584,-0.028728,-0.076608,-9.789066,-9.789408,0.00426,-0.005325,0.00426,99251.5,25.97,0.034386359,0.039859,,,,
139.020725,0.011232,-0.10773,-0.09576,-9.832158,-9.833214,-0.001065,-0.003195,0.00213,99251.5,25.97,-0.009419641,-0.003947,,,,
139.031851,0.011127,-0.057456,-0.1197,-9.822582,-9.823479,-0.001065,-0.00426,0,99251.5,25.97,0.000315359,0.005788,,,,
139.043154,0.011303,-0.05985,-0.102942,-9.817794,-9.818516,0.001065,-0.00213,0,99254.24,25.97,0.005278359,0.010751,,,,
139.054275,0.01112,-0.117306,-0.08379,-9.824976,-9.826034,0.00426,-0.00639,0.003195,99254.24,25.97,-0.002239641,0.003233,,,,
139.065412,0.011137,-0.01197,-0.069426,-9.786672,-9.786926,-0.001065,0,0,99254.24,25.97,0.036868359,0.042341,,,,
