Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,4
5.3544493,0.0208321,-0.053839,9.842875,-0.097508,9.843506,90.567566,90.313393,1,2,3,4
5.3752832,0.0208339,-0.089133,9.817751,-0.12682,9.818974,90.740036,90.520157,1,2,3,4
5.3961163,0.0208331,-0.07657,9.829716,-0.029312,9.830058,90.170853,90.446304,1,2,3,4
5.4169497,0.0208334,-0.058624,9.849456,-0.102293,9.850162,90.595024,90.341019,1,2,3,4
5.4377837,0.020834,-0.05683,9.833903,-0.109472,9.834677,90.637787,90.331108,1,2,3,4
5.4586191,0.0208354,-0.05324,9.855438,-0.072981,9.855852,90.424271,90.309517,1,2,3,4
5.4794545,0.0208354,-0.061615,9.838689,-0.149551,9.840018,90.870834,90.35881,1,2,3,4
5.5002909,0.0208364,-0.052642,9.849456,-0.075972,9.84989,90.441925,90.306221,1,2,3,4
5.5211296,0.0208387,-0.087338,9.839287,-0.045464,9.83978,90.264732,90.508568,1,2,3,4
5.5419688,0.0208392,-0.06999,9.835099,-0.108275,9.835944,90.63073,90.40773,1,2,3,4
