Time (s),dt, X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg),1,2,3,ag
12.0359335,0.00244,0.138186,9.897313,-0.14656,9.899363,90.848297,89.200096,1,2,3,0
12.038373,0.00244,0.131007,9.885348,-0.165703,9.887605,90.960243,89.240723,1,2,3,0
12.0408125,0.00244,0.114257,9.851849,-0.194417,9.854429,91.130455,89.335541,1,2,3,0
12.043252,0.00244,0.111864,9.849456,-0.19681,9.852057,91.144646,89.349297,1,2,3,0
12.0456915,0.00244,0.126221,9.868599,-0.259023,9.872805,91.503387,89.267212,1,2,3,0
12.048131,0.00244,0.140578,9.839885,-0.25663,9.844234,91.49382,89.181496,1,2,3,0
12.0505695,0.00244,0.1334,9.885348,-0.266202,9.889832,91.542397,89.22686,1,2,3,0
12.053009,0.00244,0.190828,9.849456,-0.223131,9.853831,91.297523,88.890068,1,2,3,0
12.0554495,0.00244,0.138186,9.849456,-0.278166,9.854352,91.617546,89.196205,1,2,3,0
12.057888,0.00244,0.166899,9.870992,-0.282951,9.876456,91.641693,89.031334,1,2,3,0
12.0603275,0.00244,0.224327,9.880563,-0.285344,9.887227,91.653778,88.699387,1,2,3,0
12.062767,0.00244,0.248255,9.875777,-0.280558,9.88288,91.626747,88.560013,1,2,3,0
12.0652065,0.00244,0.238684,9.909277,-0.285344,9.916258,91.648933,88.620186,1,2,3,0
12.067646,0.00244,0.274576,9.897313,-0.251845,9.904324,91.457062,88.410881,1,2,3,0
12.0700855,0.00244,0.238684,9.859028,-0.247059,9.86501,91.435066,88.613159,1,2,3,0
12.0725241,0.00244,0.205185,9.866206,-0.230309,9.871026,91.336937,88.808609,1,2,3,0
12.0749636,0.00244,0.267398,9.930812,-0.215952,9.936758,91.245285,88.457619,1,2,3,0
12.077404,0.00244,0.119043,9.91167,-0.251845,9.915583,91.455406,89.31189,1,2,3,0
12.0798426,0.00244,0.200399,9.887741,-0.084347,9.890132,90.488647,88.838921,1,2,3,0
12.0822821,0.00244,0.145364,9.870992,-0.120239,9.872794,90.697815,89.156303,1,2,3,0
12.0847216,0.00244,0.169292,9.868599,-0.158524,9.871325,90.920158,89.017212,1,2,3,0
12.0871601,0.00244,0.176471,9.837492,-0.055633,9.839232,90.323967,88.972305,1,2,3,0
12.0896006,0.00244,0.19322,9.887741,-0.002991,9.889629,90.017326,88.880501,1,2,3,0
12.0920401,0.00244,0.183649,9.887741,-0.034098,9.889505,90.197548,88.935944,1,2,3,0
12.0944786,0.00244,0.231506,9.866206,-0.050847,9.869053,90.295204,88.65583,1,2,3,0
12.0969181,0.00244,0.22672,9.894919,-0.041276,9.897602,90.238945,88.687424,1,2,3,0
12.0993576,0.00244,0.241077,9.902099,0.016152,9.905046,89.90657,88.605347,1,2,3,0
12.1017971,0.00244,0.229113,9.890134,-0.048455,9.892906,90.280632,88.672935,1,2,3,0
12.1042366,0.00244,0.274576,9.882956,-0.026919,9.886806,90.155998,88.408569,1,2,3,0
12.1066761,0.00244,0.272184,9.906884,-0.012562,9.91063,90.072624,88.426239,1,2,3,0
12.1091146,0.00244,0.267398,9.882956,-0.017348,9.886587,90.10054,88.450157,1,2,3,0
12.1115551,0.00244,0.229113,9.902099,-0.034098,9.904807,90.197243,88.674538,1,2,3,0
12.1139946,0.00244,0.22672,9.859028,-0.065204,9.86185,90.37883,88.682648,1,2,3,0
12.1164331,0.00244,0.231506,9.892527,-0.074776,9.895517,90.432961,88.659409,1,2,3,0
12.1188726,0.00244,0.233898,9.899706,-0.105882,9.903034,90.61261,88.646538,1,2,3,0
12.1213121,0.00244,0.221934,9.890134,-0.120239,9.893354,90.696365,88.7145,1,2,3,0
12.1237516,0.00244,0.205185,9.870992,-0.14656,9.874211,90.850456,88.809189,1,2,3,0
12.1261911,0.00244,0.207577,9.837492,-0.141775,9.840703,90.825485,88.791199,1,2,3,0
12.1286306,0.00244,0.219541,9.847063,-0.139382,9.850496,90.810745,88.722794,1,2,3,0
12.1310692,0.00244,0.207577,9.847063,-0.151346,9.850413,90.880348,88.792374,1,2,3,0
12.1335087,0.00244,0.22672,9.827921,-0.151346,9.8317,90.882027,88.678482,1,2,3,0
12.1359491,0.00244,0.195613,9.84467,-0.113061,9.847262,90.657852,88.861687,1,2,3,0
12.1383877,0.00244,0.20997,9.842278,-0.156132,9.845756,90.908623,88.777863,1,2,3,0
12.1408272,0.00244,0.229113,9.839885,-0.187238,9.844333,91.089828,88.666161,1,2,3,0
12.1432667,0.00244,0.190828,9.827921,-0.168096,9.831211,90.979698,88.887634,1,2,3,0
12.1457052,0.00244,0.181256,9.842278,-0.177667,9.84555,91.033981,88.944954,1,2,3,0
12.1481457,0.00244,0.224327,9.835099,-0.153739,9.838859,90.895325,88.693375,1,2,3,0
12.1505852,0.00244,0.212363,9.832706,-0.120239,9.835734,90.700447,88.762741,1,2,3,0
12.1530237,0.00244,0.219541,9.806385,-0.115454,9.809522,90.674362,88.717499,1,2,3,0
12.1554632,0.00244,0.178863,9.823135,-0.122632,9.825529,90.715126,88.956848,1,2,3,0
12.1579037,0.00244,0.15015,9.827921,-0.134596,9.829989,90.784538,89.12471,1,2,3,0
12.1603432,0.00244,0.169292,9.808778,-0.089133,9.810643,90.520554,89.011215,1,2,3,0
12.1627817,0.00244,0.190828,9.78485,-0.125025,9.78751,90.731911,88.882736,1,2,3,0
12.1652212,0.00244,0.183649,9.780065,-0.153739,9.782997,90.900436,88.924232,1,2,3,0
